Fahrzeugkatalog durchsuchen;Das System muss es Nutzern ermöglichen, den Fahrzeugkatalog nach verschiedenen Kriterien (z.B. Fahrzeugtyp, Verfügbarkeit, Preis) zu durchsuchen.
Fahrzeugdetails anzeigen;Das System muss detaillierte Informationen zu jedem Fahrzeug anzeigen, einschließlich Fotos, Beschreibungen, Preisen und Verfügbarkeit.
Fahrzeugreservierung;Das System muss es Nutzern ermöglichen, ein Fahrzeug für einen bestimmten Zeitraum zu reservieren.
Reservierungsbestätigung;Das System muss eine Reservierungsbestätigung per E-Mail an den Nutzer senden, nachdem die Reservierung erfolgreich abgeschlossen wurde.
Reservierungsübersicht;Das System muss es Nutzern ermöglichen, eine Übersicht ihrer aktuellen und vergangenen Reservierungen anzuzeigen.
Reservierungsstornierung;Das System muss es Nutzern ermöglichen, eine Reservierung vor einem bestimmten Zeitpunkt zu stornieren.
Rabatt- und Angebotsverwaltung;Das System muss die Verwaltung von Rabatten und speziellen Angeboten ermöglichen.
Standortauswahl;Das System muss es Nutzern ermöglichen, den Abhol- und Rückgabeort für das Fahrzeug auszuwählen.
Bewertungen und Feedback;Das System muss es Nutzern ermöglichen, Bewertungen und Feedback zu ihren gemieteten Fahrzeugen und dem Service abzugeben.
Fahrzeugverfügbarkeit in Echtzeit;Das System muss die Verfügbarkeit von Fahrzeugen in Echtzeit anzeigen.
Nutzerregistrierung;Das System muss es den Nutzern ermöglichen, ein Konto zu erstellen, indem sie ihre persönlichen Daten wie Name, E-Mail-Adresse und Passwort angeben.
Nutzeranmeldung;Das System muss es registrierten Nutzern ermöglichen, sich mit ihrer E-Mail-Adresse und ihrem Passwort anzumelden.
Benutzerprofilverwaltung;Das System muss es Nutzern ermöglichen, ihre persönlichen Daten und Präferenzen in ihrem Benutzerprofil zu verwalten.
Kundenservice-Integration;Das System muss eine Integration mit dem Kundenservice (Live-Chat, E-Mail, Telefon) bieten.
Mehrsprachige Unterstützung;Das System muss mehrsprachige Unterstützung bieten, um Nutzern in verschiedenen Regionen gerecht zu werden.
Suchhistorie;Das System muss die Suchhistorie der Nutzer speichern und anzeigen.
Push-Benachrichtigungen;Das System muss Push-Benachrichtigungen über wichtige Updates und Angebote an die Nutzer senden können.
Reporting und Analytik;Das System muss Berichte und Analysen über Buchungen, Nutzerdaten und Trends bereitstellen.
 Zahlungsmethoden;Das System muss verschiedene Zahlungsmethoden (Kreditkarte, PayPal, etc.) unterstützen.
 Zahlungssicherheit;Das System muss sicherstellen, dass alle Zahlungstransaktionen sicher und verschlüsselt sind.
API-Integration;Das System MUSS Rechnungs- und Zahlungs-APIs für ERP/PSP bereitstellen.
Archivierung;Das System MUSS Rechnungsbelege revisionssicher archivieren und versionieren.
Betrugserkennung;Das System SOLLTE Betrugssignale erkennen und manuelle Prüfung anstoßen.
Buchungssatzbildung;Das System MUSS Buchungssätze (Debitor, Erlöse, Forderungen, Banken) erzeugen.
Datenexport;Das System MUSS Exportformate für Accounting-Übergaben bereitstellen.
Differenzbehandlung;Das System MUSS Über-/Unterzahlungen und Rückläufer erkennen und buchen.
End-to-End-Tracing;Das System MUSS End-to-End-Tracing vom Kundenszenario bis zur Zahlung ermöglichen.
Firmenkundenprofile;Das System MUSS Firmenkunden-Rechnungsprofile (Sammelrechnung, PO-Nummer) unterstützen.
Gutschriftenerstellung;Das System MUSS Gutschriften mit Referenz zur Ursprungsrechnung erzeugen.
Kautionsrückzahlung;Das System MUSS Kautionsrückzahlungen mit Begründung dokumentieren.
Kautionsverrechnung;Das System MUSS die Kaution als Zahlungsvormerkung erfassen und mit der Schlussrechnung verrechnen.
Kundenkommunikation;Das System MUSS Kundenkommunikation zu Zahlung und Mahnung auslösen.
Layoutverwaltung;Das System MUSS Rechnungs-Layouts je Marke/Rechtseinheit konfigurierbar machen.
Mahnwesen;Das System MUSS Mahnstufen mit Gebühren und Fristen steuern und Dokumente erzeugen.
Mehrsprachigkeit;Das System MUSS Rechnungen sprach- und landesspezifisch erzeugen.
Multi-Entity-Fähigkeit;Das System MUSS mehrere Rechtseinheiten/Stationen im Abrechnungskontext unterstützen.
Name;Text
Pre-Auth-Freigabe;Das System MUSS Kreditkarten-Pre-Auth-Freigaben automatisiert reduzieren oder auflösen.
Pro-Forma-Rechnung;Das System MUSS Pro-Forma-Rechnungen vor Fahrzeugabholung erzeugen können.
Rabattverwaltung;Das System MUSS Rabatte und Gutscheine mit Quelle und Kampagne ausweisen.
Rechnungsadressverwaltung;Das System MUSS Rechnungsadressen aus Kunden-/Firmendaten übernehmen und versionieren.
Rechnungserzeugung;Bei Abschluss des Wertstromabschnitts „Mobilität beenden“ MUSS das System automatisch eine Rechnung zum Mietvorgang erzeugen.
Rechnungsnummernvergabe;Das System MUSS Rechnungsnummern eindeutig und lückenlos je Rechtseinheit vergeben.
