# runtime-coordinate callers — maintained by scripts/check_runtime_coordinate_callers.py
# DO NOT ADD A SITE WITHOUT REVIEWING ITS RECIPIENT/RESOURCE AUTHORITY.
# Regenerate with `python scripts/check_runtime_coordinate_callers.py --write`;
# new sites are deliberately marked `unclassified` until reviewed.
# Classifications identify the reviewed boundary: exact runtime recipient,
# fresh Kubernetes attestation, pinned host key, VM authority, local-only,
# read-only probe, or a Kubernetes path contained before network I/O.
#
# A site is identified by its call, not by its position: <callee> is
# the call target and <fingerprint> hashes the normalized argument
# structure. Reordering calls preserves classifications; changing a
# target or an argument shape mints a new `unclassified` site.
#
# <file>  <enclosing qualname>  <kind>  <callee>  <fingerprint>  #<ordinal>  <classification>

orchestrator/main.py  _agent_get_thread_workspace_locked  remote-effect  remote_canvas_presentation_available  f40229a0ebf2  #1  fresh-k8s-attestation
orchestrator/main.py  _agent_get_thread_workspace_locked  remote-effect  remote_canvas_presentation_available  f40229a0ebf2  #2  fresh-k8s-attestation
orchestrator/main.py  _agent_toolset_from_status  http  client.get  8d7b711c0959  #1  read-only-probe
orchestrator/main.py  _agent_toolset_probe  http  client.get  8d7b711c0959  #1  read-only-probe
orchestrator/main.py  _build_agent_cloud_mount  remote-effect  _build_rclone_mount_from_row  f439c958baa3  #1  local-only
orchestrator/main.py  _build_agent_cloud_mount  remote-effect  _build_rclone_session_mount  19bd9aa52fce  #1  local-only
orchestrator/main.py  _capture_workspace_snapshot_for_freeze  remote-effect  snapshot_service.capture_vm_snapshot  a8d60e53ae92  #1  contained-k8s
orchestrator/main.py  _capture_workspace_snapshot_for_freeze  remote-effect  snapshot_service.capture_vm_snapshot  aeab2fb0c8df  #1  vm-authority
orchestrator/main.py  _cascade_cancel_to_children._signal_cancel  http  client.post  e095cc0a7a8c  #1  exact-runtime-recipient
orchestrator/main.py  _cascade_pause_to_children._signal_pause  http  client.post  c40208b4763b  #1  exact-runtime-recipient
orchestrator/main.py  _detach_agent_session  http  client.post  5e8b40a94fa6  #1  exact-runtime-recipient
orchestrator/main.py  _dispatch_job_to_agent  http  client.post  d2ec1a50b42e  #1  exact-runtime-recipient
orchestrator/main.py  _forward_to_agent  http  client.post  354d7ac9ee96  #1  exact-runtime-recipient
orchestrator/main.py  _initiate_pause  http  client.post  c40208b4763b  #1  exact-runtime-recipient
orchestrator/main.py  _parse_ssh_gateway_host_keys  ssh  asyncssh.import_public_key  4fe182bafd50  #1  local-only
orchestrator/main.py  _prepare_pinned_job_mutation_target  http  client.get  8c74982a3556  #1  read-only-probe
orchestrator/main.py  _prepare_pinned_session_mutation_target  http  client.get  8c74982a3556  #1  read-only-probe
orchestrator/main.py  _recover_captured_sandbox_process_zero  remote-effect  RemoteBackend  0ff44667792a  #1  contained-k8s
orchestrator/main.py  _reset_thread_overlay  http  client.post  92db99489add  #1  exact-runtime-recipient
orchestrator/main.py  _resume_job_internal  remote-effect  ide_session_service.restore_snapshot_for_resume  7d64b6d27fe7  #1  fresh-k8s-attestation
orchestrator/main.py  _resume_job_on_agent  http  client.get  8c74982a3556  #1  exact-runtime-recipient
orchestrator/main.py  _resume_job_on_agent  http  client.post  d1bd7131e5e1  #1  exact-runtime-recipient
orchestrator/main.py  _send_session_attach_locked  http  client.post  ac47f8baff89  #1  exact-runtime-recipient
orchestrator/main.py  _thread_turn_in_flight  http  client.post  5e8b40a94fa6  #1  exact-runtime-recipient
orchestrator/main.py  cancel_job  http  client.post  b81e2e9fccf9  #1  exact-runtime-recipient
orchestrator/main.py  get_agent_system_info  http  client.get  7e0ff1b83a17  #1  read-only-probe
